Date,Open,High,Low,Close,Volume,Daily_Return,MA_5,MA_15,MA_20,Volatility_20D,Ticker
8/3/2020,5505.541076,5518.818104,5155.912664,5425.878906,137079000,,,,,,BBCA.JK
8/4/2020,5448.007986,5505.541783,5425.879603,5496.69043,79357000,0.013050701,,,,,BBCA.JK
8/5/2020,5487.838484,5505.541189,5399.32496,5492.26416,49393000,-0.000805261,,,,,BBCA.JK
8/6/2020,5501.11569,5571.926512,5474.561632,5540.946777,55258500,0.008863852,,,,,BBCA.JK
8/7/2020,5545.372237,5563.074942,5452.433038,5470.135742,43621000,-0.012779591,5485.183203,,,,BBCA.JK
8/10/2020,5470.135948,5487.838653,5403.750803,5417.027832,37774500,-0.009708701,5483.412988,,,,BBCA.JK
8/11/2020,5434.730228,5487.838341,5425.878876,5465.709961,38795500,0.008986871,5477.216895,,,,BBCA.JK
8/12/2020,5465.71028,5540.946777,5452.433251,5540.946777,35612000,0.013765241,5486.953418,,,,BBCA.JK
8/13/2020,5540.945671,5576.351074,5470.134863,5576.351074,48581000,0.006389575,5494.034277,,,,BBCA.JK
8/14/2020,5576.351819,5669.291016,5523.243706,5669.291016,57316000,0.016666802,5533.865332,,,,BBCA.JK
8/18/2020,5669.291537,5686.994243,5576.352332,5629.460449,81563500,-0.00702567,5576.351855,,,,BBCA.JK
8/19/2020,5629.460799,5673.717566,5585.204031,5602.906738,58793500,-0.004716919,5603.791211,,,,BBCA.JK
8/24/2020,5611.757777,5647.163189,5558.649659,5589.629395,66882500,-0.002369724,5613.527734,,,,BBCA.JK
8/25/2020,5594.054657,5647.162771,5580.777628,5633.885742,49211000,0.007917582,5625.034668,,,,BBCA.JK
8/26/2020,5651.588409,5656.014085,5580.777591,5611.757324,42983000,-0.003927736,5613.52793,5544.192155,,,BBCA.JK
8/27/2020,5633.885797,5841.892578,5611.757416,5841.892578,68326000,0.041009481,5656.014355,5571.9264,,,BBCA.JK
8/28/2020,5806.487406,5841.892817,5686.994144,5748.953613,52292500,-0.015909051,5685.22373,5588.743945,,,BBCA.JK
8/31/2020,5753.379062,5788.784471,5554.223633,5554.223633,97032000,-0.033872248,5678.142578,5592.874577,,,BBCA.JK
9/1/2020,5558.649094,5771.081543,5523.243685,5771.081543,67446000,0.039043784,5705.581738,5608.216895,,,BBCA.JK
9/2/2020,5771.082204,5806.487617,5633.886232,5695.845703,66065000,-0.013036697,5722.399414,5623.264225,5588.74397,,BBCA.JK
9/3/2020,5722.399174,5753.378906,5576.351863,5753.378906,68208500,0.010100906,5704.69668,5645.68763,5605.11897,0.017681272,BBCA.JK
9/4/2020,5709.122556,5709.122556,5545.372529,5647.163086,80613500,-0.018461468,5684.338574,5657.784505,5612.642603,0.018144196,BBCA.JK
9/7/2020,5607.330975,5629.459353,5487.837734,5563.074219,64249500,-0.014890462,5686.108691,5659.259668,5616.183105,0.018508353,BBCA.JK
9/8/2020,5563.075267,5629.460413,5563.075267,5607.332031,39649000,0.007955639,5653.358789,5661.325065,5619.502368,0.018488636,BBCA.JK
9/9/2020,5576.351871,5594.054575,5496.689701,5527.669434,49285000,-0.014206863,5619.723535,5651.883626,5622.379053,0.0185463,BBCA.JK
9/10/2020,5505.541713,5505.541713,5142.63623,5142.63623,175735000,-0.069655613,5497.575,5619.428678,5608.659473,0.024274193,BBCA.JK
9/11/2020,5133.784432,5288.6831,4974.460087,5226.723633,403032500,0.016351031,5413.487109,5594.349805,5596.710156,0.024509314,BBCA.JK
9/14/2020,5310.81208,5412.602645,5297.53505,5355.068848,138115000,0.024555577,5371.886035,5578.712435,5587.41626,0.024987408,BBCA.JK
9/15/2020,5346.21642,5399.32453,5186.89209,5186.89209,170087000,-0.031405153,5287.798047,5548.912858,5567.943311,0.02578345,BBCA.JK
9/16/2020,5186.892712,5195.744065,5085.102156,5089.527832,158565500,-0.018771213,5200.169727,5514.097559,5538.955151,0.025556201,BBCA.JK
9/17/2020,5089.526961,5182.466149,5014.290476,5093.952637,138796000,0.000869394,5190.433008,5464.234896,5512.179761,0.025585293,BBCA.JK
9/18/2020,5045.270003,5076.249731,4930.202442,4983.310547,316912000,-0.021720282,5141.750391,5413.192025,5481.199951,0.02586784,BBCA.JK
9/21/2020,4992.162839,5076.250689,4952.331753,4961.183105,112443000,-0.00444031,5062.973242,5373.65599,5449.777637,0.025858705,BBCA.JK
9/22/2020,4885.945786,4925.776865,4806.283626,4823.986328,163442500,-0.027654044,4990.39209,5310.516309,5409.282666,0.026100426,BBCA.JK
9/23/2020,4823.986996,4943.480252,4801.858615,4872.669434,100517000,0.010091883,4947.02041,5255.637891,5372.328271,0.026385389,BBCA.JK
9/24/2020,4806.284008,4899.223201,4770.8786,4819.561035,88618500,-0.010899241,4892.14209,5193.383366,5321.211694,0.02387915,BBCA.JK
9/25/2020,4850.541301,4978.885916,4832.838596,4965.608887,100705000,0.030303144,4888.601758,5147.946419,5282.044458,0.025393537,BBCA.JK
9/28/2020,5001.014757,5040.845848,4868.244454,4881.521484,93522000,-0.016933956,4872.669434,5102.50957,5248.409351,0.024723296,BBCA.JK
9/29/2020,4934.6289,4987.737013,4832.838348,4872.669434,117778500,-0.001813379,4882.406055,5053.532064,5203.488745,0.022369211,BBCA.JK
9/30/2020,4925.777718,4925.777718,4797.433105,4797.433105,107377000,-0.015440474,4867.358789,5004.849642,5158.568115,0.022403094,BBCA.JK
10/1/2020,4854.967113,4930.203613,4850.541436,4930.203613,56893000,0.027675322,4889.487305,4990.687467,5117.409351,0.023481656,BBCA.JK
10/2/2020,4921.351871,4925.777547,4815.135644,4872.669434,66848000,-0.011669737,4870.899414,4967.083854,5078.684668,0.023362449,BBCA.JK
10/5/2020,4881.521101,4921.352189,4832.83866,4885.946777,58291000,0.00272486,4871.784473,4935.809049,5044.828296,0.023384731,BBCA.JK
10/6/2020,4983.311528,5058.548025,4956.75747,5045.270996,141955500,0.032608668,4906.304785,4926.367643,5016.725244,0.024778614,BBCA.JK
10/7/2020,4956.756693,5093.952637,4939.05399,5093.952637,89937500,0.009648964,4965.608691,4926.66263,4995.039404,0.024884604,BBCA.JK
10/8/2020,5124.932895,5133.784247,5054.122078,5116.081543,77384500,0.004344152,5002.784277,4928.137891,4993.71167,0.01949095,BBCA.JK
10/9/2020,5089.527382,5111.655762,5062.973326,5111.655762,54250500,-0.000865072,5050.581543,4936.694238,4987.958276,0.019103468,BBCA.JK
10/12/2020,5169.189768,5200.169502,5160.338416,5182.466797,82918500,0.013852857,5109.885547,4951.446484,4979.328174,0.01849181,BBCA.JK
10/13/2020,5169.189768,5186.892473,5107.230302,5182.466797,48250500,0,5137.324707,4975.345182,4979.106909,0.017097277,BBCA.JK
10/14/2020,5169.189738,5222.297852,5142.635681,5222.297852,83117500,0.007685733,5162.99375,4998.653743,4985.74541,0.016576262,BBCA.JK
10/15/2020,5200.169495,5204.595171,5098.378943,5120.507324,82067000,-0.019491521,5163.878906,5018.716829,4987.073145,0.01722433,BBCA.JK
10/16/2020,5120.507287,5124.932963,5071.824849,5098.378906,89051500,-0.004321528,5161.223535,5027.568164,4992.826563,0.016471203,BBCA.JK
10/19/2020,5089.527567,5222.297852,5054.122158,5222.297852,56871500,0.024305558,5169.189746,5050.286589,5005.8823,0.017185375,BBCA.JK
10/20/2020,5204.595103,5204.595103,5120.507257,5138.209961,74995500,-0.016101703,5160.338379,5067.98929,5021.593481,0.016281556,BBCA.JK
10/21/2020,5186.89236,5191.318036,5071.824782,5116.081543,77944000,-0.004306639,5139.095117,5089.23252,5033.764087,0.016283075,BBCA.JK
10/22/2020,5080.677034,5133.785156,5049.697296,5133.785156,96872500,0.003460385,5141.750684,5102.804622,5049.475293,0.015971734,BBCA.JK
10/23/2020,5169.189443,5169.189443,5089.527277,5107.22998,66328000,-0.005172631,5143.520898,5118.441992,5056.556348,0.014735086,BBCA.JK
10/26/2020,5067.399831,5164.764719,5067.399831,5147.062012,70452500,0.007799146,5128.47373,5135.849674,5069.833374,0.014131237,BBCA.JK
10/27/2020,5147.061487,5160.338516,5093.953372,5124.933105,89482000,-0.004299328,5125.818359,5141.160482,5082.446558,0.014184286,BBCA.JK
11/2/2020,5098.378705,5155.912492,5062.973297,5151.486816,151006500,0.00518128,5132.899414,5144.996094,5100.149243,0.01353694,BBCA.JK
11/3/2020,5169.190014,5217.872454,5164.764337,5213.446777,78152000,0.012027588,5148.831738,5151.487109,5114.311401,0.012486926,BBCA.JK
11/4/2020,5222.297632,5257.703039,5120.507085,5151.486816,78626000,-0.011884644,5157.683105,5154.142513,5128.252271,0.012500182,BBCA.JK
11/5/2020,5222.298209,5470.13609,5222.298209,5443.582031,161090000,0.056701148,5216.987109,5171.550195,5156.134033,0.017353957,BBCA.JK
11/6/2020,5452.432161,5576.351074,5363.918652,5576.351074,137303500,0.024390014,5307.270703,5197.809147,5182.688037,0.016767097,BBCA.JK
11/9/2020,5576.351246,5664.864757,5501.11476,5563.074219,82739500,-0.002380922,5389.588184,5220.527572,5206.144116,0.016812837,BBCA.JK
11/10/2020,5660.439775,5841.892497,5647.162747,5735.67627,191073500,0.031026379,5494.034082,5261.538835,5237.123853,0.017824171,BBCA.JK
11/11/2020,5788.785156,5810.91354,5735.677036,5788.785156,131383500,0.009259394,5621.49375,5307.565918,5270.980322,0.017766191,BBCA.JK
11/12/2020,5673.716519,5748.95301,5669.290843,5682.567871,83082500,-0.018348804,5669.290918,5338.250586,5295.985376,0.018498018,BBCA.JK
11/13/2020,5682.567727,5709.121781,5594.054211,5656.013672,82374500,-0.004672922,5685.223438,5372.770833,5319.66272,0.018590803,BBCA.JK
11/16/2020,5740.101946,5740.101946,5651.588423,5735.67627,54905000,0.014084584,5719.743848,5414.077148,5345.331641,0.018702464,BBCA.JK
11/17/2020,5753.379465,5810.91326,5744.528112,5797.63623,119784000,0.010802555,5732.13584,5458.333887,5379.188086,0.01783274,BBCA.JK
11/18/2020,5797.636161,5819.764544,5788.784808,5815.338867,99789000,0.003053423,5737.446582,5505.541146,5415.036084,0.017675418,BBCA.JK
11/19/2020,5771.081588,5877.297814,5766.655912,5855.169434,147346500,0.006849225,5771.966895,5552.748307,5446.679663,0.017186945,BBCA.JK
11/20/2020,5877.297988,5886.14934,5797.635816,5841.892578,68468500,-0.002267544,5809.142676,5600.545605,5481.863794,0.016521488,BBCA.JK
11/23/2020,5841.892578,5850.743931,5797.635816,5841.892578,75265500,0,5830.385938,5646.572656,5518.154346,0.016399953,BBCA.JK
11/24/2020,5841.892821,5841.892821,5793.21038,5810.913086,72349500,-0.005302989,5833.041309,5686.403743,5552.010742,0.01660906,BBCA.JK
11/25/2020,5824.190286,5828.615963,5647.163226,5673.717285,170140500,-0.023610025,5804.716992,5721.219108,5580.335107,0.01775403,BBCA.JK
11/26/2020,5620.60869,5744.527622,5576.351929,5735.67627,64339000,0.010920351,5780.818359,5740.692057,5609.76582,0.017789722,BBCA.JK
11/27/2020,5735.676225,5744.527577,5647.162703,5651.588379,87361500,-0.014660502,5742.75752,5745.707878,5636.098584,0.018237679,BBCA.JK
11/30/2020,5651.588503,5664.865532,5430.304693,5492.26416,393091500,-0.028191051,5672.831836,5740.987207,5653.137451,0.019694334,BBCA.JK
12/1/2020,5505.541272,5695.845352,5505.541272,5660.439941,114563500,0.030620483,5642.737207,5735.971452,5675.487109,0.020544028,BBCA.JK
12/2/2020,5717.9744,5740.102784,5611.758158,5709.123047,93897500,0.008600587,5649.818359,5730.660645,5703.368921,0.020201433,BBCA.JK
12/3/2020,5753.379534,5775.507916,5686.994385,5717.974121,98210000,0.001550339,5646.27793,5733.021061,5717.088525,0.016187353,BBCA.JK
12/4/2020,5717.973133,5722.398809,5629.459617,5656.013672,64995500,-0.010836084,5647.162988,5733.021061,5721.071655,0.015595681,BBCA.JK
12/7/2020,5753.378839,5824.189655,5735.676135,5771.081543,96636000,0.020344341,5702.926465,5735.381413,5731.472021,0.016167207,BBCA.JK
12/8/2020,5771.08189,5771.08189,5686.99404,5744.527832,70561500,-0.004601167,5719.744043,5731.840853,5731.9146,0.014691564,BBCA.JK
12/10/2020,5850.710802,5859.588967,5806.319977,5837.393555,151420500,0.016165945,5745.398145,5733.311165,5734.34502,0.014994267,BBCA.JK
12/11/2020,5859.589583,6019.396571,5855.1505,5979.444824,214160000,0.024334708,5797.692285,5741.596191,5749.188867,0.015202696,BBCA.JK
12/14/2020,6037.152361,6063.786857,6032.713278,6054.908691,179785500,0.012620547,5877.471289,5755.797266,5769.133618,0.015255426,BBCA.JK
12/15/2020,6063.786585,6125.933739,5864.027876,6028.273926,164024500,-0.004398872,5928.909766,5768.222689,5783.763501,0.015141425,BBCA.JK
12/16/2020,6090.421222,6170.324707,6072.664892,6170.324707,138674000,0.023564089,6014.069141,5792.183464,5802.397925,0.015761492,BBCA.JK
12/17/2020,6183.641819,6214.715396,6054.908428,6157.007324,91920000,-0.002158295,6077.991895,5824.402799,5819.481348,0.015807715,BBCA.JK
12/18/2020,6157.007076,6157.007076,5997.200115,6037.151855,147238500,-0.019466514,6089.533301,5844.501172,5828.580469,0.016546419,BBCA.JK
12/21/2020,6117.055118,6117.055118,6037.15164,6063.786133,93692500,0.004411729,6091.308789,5871.981022,5839.675146,0.016530342,BBCA.JK
12/22/2020,5983.882911,6054.908228,5957.248418,5961.6875,61790500,-0.01683744,6077.991504,5903.275911,5845.664893,0.017057659,BBCA.JK
12/23/2020,6130.372385,6130.372385,5877.344706,5970.56543,76948000,0.001489164,6038.039648,5923.950944,5853.64751,0.016989827,BBCA.JK
12/28/2020,6028.274161,6054.908657,5912.858014,6019.395996,60234000,0.00817855,6010.517383,5944.635807,5870.931445,0.015974374,BBCA.JK
12/29/2020,6014.956778,6046.030356,5983.883201,6006.078613,34212500,-0.002212412,6004.302734,5963.842773,5884.451563,0.015905004,BBCA.JK
12/30/2020,6037.152073,6037.152073,5948.370424,6010.517578,52675500,0.000739079,5993.649023,5987.476367,5902.398022,0.015399003,BBCA.JK
1/4/2021,6037.152981,6085.982895,5966.127652,6068.226563,47937000,0.009601334,6014.956836,6007.286035,5931.196143,0.013552885,BBCA.JK
1/5/2021,6090.421341,6294.619141,6081.543175,6294.619141,104831000,0.037307865,6079.767578,6043.958789,5962.905103,0.014279066,BBCA.JK
1/6/2021,6259.105981,6281.301393,6108.177185,6165.885254,89753500,-0.020451418,6109.06543,6065.858236,5985.743213,0.01537419,BBCA.JK
1/7/2021,6214.715668,6259.106494,6134.812181,6183.64209,71360000,0.002879852,6144.578125,6079.471387,6009.026611,0.015366062,BBCA.JK
1/8/2021,6245.78871,6285.74045,6192.519723,6259.105957,75033500,0.01220379,6194.295801,6093.084538,6039.181226,0.015053059,BBCA.JK
1/11/2021,6347.887989,6534.329455,6343.448907,6521.012207,169034500,0.041844035,6284.85293,6125.933757,6076.677759,0.016852662,BBCA.JK
1/12/2021,6521.012165,6552.085742,6356.766113,6356.766113,95235000,-0.025187208,6297.282324,6138.363184,6107.289673,0.018131152,BBCA.JK
1/13/2021,6432.230479,6458.864974,6276.862593,6321.253418,76581500,-0.005586598,6328.355957,6149.312923,6131.482666,0.018093096,BBCA.JK
1/14/2021,6259.105684,6294.61834,6210.275781,6232.471191,89319500,-0.014045035,6338.121777,6162.334212,6144.133984,0.017872874,BBCA.JK
1/15/2021,6299.05798,6303.497063,6072.664776,6174.763672,89853500,-0.009259171,6321.25332,6169.732715,6150.126733,0.017872689,BBCA.JK
1/18/2021,6174.763697,6325.6925,6077.103883,6321.253418,86343000,0.023723944,6281.301563,6193.703776,6164.775708,0.018509676,BBCA.JK
1/19/2021,6321.254008,6321.254008,6219.155102,6299.058594,73777000,-0.003511143,6269.760059,6215.60332,6171.212402,0.017869911,BBCA.JK
1/20/2021,6361.205754,6476.621909,6276.863179,6299.058594,107216000,0,6265.321094,6234.247493,6178.314966,0.017855181,BBCA.JK
1/21/2021,6463.304141,6481.060471,6267.98451,6281.301758,66428000,-0.002818967,6275.087207,6252.595703,6190.522461,0.017213059,BBCA.JK
1/22/2021,6281.302128,6356.766535,6281.302128,6285.741211,80829000,0.000706773,6297.282715,6270.943945,6201.620215,0.017207072,BBCA.JK
1/25/2021,6392.278785,6392.278785,6214.715485,6245.789063,76836500,-0.006355996,6282.189844,6282.781445,6215.825293,0.016758907,BBCA.JK
1/26/2021,6174.763922,6214.715666,6054.908691,6054.908691,98658000,-0.03056145,6233.359863,6266.800749,6220.042456,0.018316829,BBCA.JK
1/27/2021,6054.90842,6152.568234,5952.809525,6028.273926,97920000,-0.004398872,6179.20293,6257.62666,6220.486353,0.018268175,BBCA.JK
1/28/2021,6028.273783,6148.129005,6028.273783,6125.933594,104627000,0.01620027,6148.129297,6253.779427,6226.479102,0.018599515,BBCA.JK
1/29/2021,6125.934957,6214.716624,6001.640625,6001.640625,132762500,-0.020289637,6091.30918,6236.615072,6226.035254,0.01920847,BBCA.JK
2/1/2021,6001.6397,6143.690344,5855.149974,6054.908691,113129000,0.008875584,6053.133105,6205.541504,6225.36936,0.019190254,BBCA.JK
2/2/2021,6183.64157,6196.958816,6037.151855,6037.151855,86741000,-0.002932635,6049.581738,6184.233887,6212.495996,0.017072518,BBCA.JK
