,author_id,text,retweet_count,like_count,reply_count,cleaned_text,sentiment_label,bert_confidence,custom_score
0,238091066.0,"BRMS Kaji Pembangunan Fasilitas Emas Mirip ANTM dan HRTA

#saham #infosaham #investasi

https://t.co/IFaae36Oks",0,0,0,brms kaji pembangunan fasilitas emas antm hrta,neutral,0.9987955093383789,0
1,1.33e+18,BlackRock hingga American Century Koleksi Saham ANTM di Tengah Prospek Lompatan Laba https://t.co/ShhmP8PahM,0,1,0,blackrock american century koleksi saham antm prospek lompatan laba,neutral,0.9987574815750122,0
2,56357597.0,"@ardi_tama1 Gw malah curiganya pas yusuf mansur ngipasin GIAA,makanya sempet kaesang mulai manasin2 ANTM di twitter,buru2 gw jual itu saham wkwkwk

Prinsip gw adalah ogah pegang saham yg dipegang ama influenza",1,3,0,curiganya pas yusuf mansur ngipasin giaamakanya sempet kaesang manasin2 antm twitterburu2 jual saham wkwkwk prinsip ogah pegang saham dipegang ama influenza,negative,0.9370731115341187,-1
3,238091066.0,"BERITA POPULER: Harga Emas Antam (ANTM) Balik Arah hingga Rekomendasi Sell PGEO

#saham #infosaham #emas #investasi

https://t.co/W7VGVitS3K",0,1,0,berita populer harga emas antam antm arah rekomendasi sell pgeo,neutral,0.9935348033905029,0
4,238091066.0,BERITA POPULER: Strategi Trading Saham CDIA hingga Harga Emas Antam (ANTM) Ambles https://t.co/1cooqKyO7j via @InvestorID,0,0,0,berita populer strategi trading saham cdia harga emas antam antm ambles via,neutral,0.9978218078613281,0
5,1.26e+18,"ADES   ADMR   AMRT   ANTM   ASII   BBCA   BBRI   BNII   BREN   BYAN   GOTO   KIJA   MAPI   MTEL   ROTI : +214K kali lipat, +17,60 %: portofolio WARUNG buka TEGAR saham BY JO ot B: 12 Agustus 2025: IHSG euforia: siyap2 ctak rekor tertinggi IHSG: https://t.co/7EWW6yO0zv https://t.co/dojEpZSXxp",0,0,0,ades admr amrt antm asii bbca bbri bnii bren byan goto kija mapi mtel roti 214k kali lipat 1760 portofolio warung buka tegar saham agustus 2025 ihsg euforia siyap2 ctak rekor tertinggi ihsg,neutral,0.9979748129844666,0
6,238091066.0,"BERITA POPULER: Harga Emas Antam (ANTM) Jatuh hingga Arah Saham CDIA

#saham #infosaham #emas #investasi

https://t.co/Dk64I1FOd1",0,2,0,berita populer harga emas antam antm jatuh arah saham cdia,neutral,0.9969046711921692,0
7,1.33e+18,"Rekomendasi dan Target Terbaru Saham ANTM, TLKM, Hingga AMMN yang Diincar Investor Asing https://t.co/3XUSKdQ7Km",0,0,0,rekomendasi target terbaru saham antm tlkm ammn diincar investor asing,neutral,0.998649537563324,0
8,85741863.0,"Antisipasi Data Inflasi AS, Pidato Kenegaraan Presiden Prabowo &amp; Trade Deal AS - China.

#CTASaham
#Saham
#IDX
#trending
#IHSG
#MSCI
#Prabowo
#Trunp
#China
#Inflasi
#ASII
#otomotif
#harikemerdekaan
#dirgahayuindonesia
#TOBA
#DKFT
#ANTM
#BKSL
#ENRG
#ptro
#COIN
#tradingsaham https://t.co/ew4rZxES54",0,1,0,antisipasi data inflasi pidato kenegaraan presiden prabowo amp trade deal china,neutral,0.9979683756828308,0
9,1.79e+18,"??IHSG (-0,06%) di 7.533,38 pada Jumat (8/8/2025)
Berikut rekomendasi saham:
?BRI Danareksa: SCMA, NCKL, GOTO
?BNI Sekuritas: INET, BBCA, BRMS
?Phintraco: BTPS, EXCL, MAIN
?Mirae Asset: AKRA, ANTM, BREN
Cermati peluang rebound! 
#IHSG #sahamindonesia #StockMarket #bearish https://t.co/l4k0HYzKNL",0,2,0,ihsg 006 753338 jumat 882025 rekomendasi saham bri danareksa scma nckl goto bni sekuritas inet bbca brms phintraco btps excl main mirae asset akra antm bren cermati peluang rebound,neutral,0.9985376596450806,0
